"US_ISRM_id","src_h1","pol_abbr","ems_qty","ems_unit"
"976","ag","NH3",159.673,"ton/yr"
"976","agfire","PM25",1.66988,"ton/yr"
"976","agfire","NOx",1.26659,"ton/yr"
"976","agfire","SOx",0.0304478,"ton/yr"
"976","agfire","VOC",1.39634,"ton/yr"
"976","agfire","NH3",0.191169,"ton/yr"
"976","nonpt","PM25",0.548362,"ton/yr"
"976","nonpt","NOx",0.890305,"ton/yr"
"976","nonpt","SOx",0.245961,"ton/yr"
"976","nonpt","VOC",34.8852,"ton/yr"
"976","nonpt","NH3",0.514899,"ton/yr"
"976","np_oilgas","VOC",0.0340071,"ton/yr"
"976","onroad","PM25",0.00937727,"ton/yr"
"976","onroad","NOx",0.309056,"ton/yr"
"976","onroad","SOx",0.00116465,"ton/yr"
"976","onroad","VOC",0.0899547,"ton/yr"
"976","onroad","NH3",0.00753491,"ton/yr"
"976","rwc","PM25",0.752018,"ton/yr"
"976","rwc","NOx",0.0640347,"ton/yr"
"976","rwc","SOx",0.0103178,"ton/yr"
"976","rwc","VOC",0.379985,"ton/yr"
"976","rwc","NH3",0.0107863,"ton/yr"
"977","afdust","PM25",0.513066,"ton/yr"
"977","cmv","PM25",0.000933482,"ton/yr"
"977","cmv","NOx",0.024078,"ton/yr"
"977","cmv","SOx",0.0000326072,"ton/yr"
"977","cmv","VOC",0.00174631,"ton/yr"
"977","cmv","NH3",0.000001254,"ton/yr"
"977","nonpt","PM25",0.618247,"ton/yr"
"977","nonpt","NOx",1.23269,"ton/yr"
"977","nonpt","SOx",0.0161969,"ton/yr"
"977","nonpt","VOC",6.73529,"ton/yr"
"977","nonpt","NH3",0.332181,"ton/yr"
"977","np_oilgas","NOx",0.000000113995,"ton/yr"
"977","np_oilgas","SOx",0.00000224623,"ton/yr"
"977","np_oilgas","VOC",0.0358581,"ton/yr"
"977","onroad","PM25",0.276924,"ton/yr"
"977","onroad","NOx",4.97884,"ton/yr"
"977","onroad","SOx",0.0418973,"ton/yr"
"977","onroad","VOC",2.85982,"ton/yr"
"977","onroad","NH3",0.319865,"ton/yr"
"977","rwc","PM25",0.141257,"ton/yr"
"977","rwc","NOx",0.0110217,"ton/yr"
"977","rwc","SOx",0.00169587,"ton/yr"
"977","rwc","VOC",0.0597324,"ton/yr"
"977","rwc","NH3",0.00343227,"ton/yr"
"978","afdust","PM25",0.467613,"ton/yr"
"978","cmv","PM25",0.00374091,"ton/yr"
"978","cmv","NOx",0.0964921,"ton/yr"
"978","cmv","SOx",0.000130673,"ton/yr"
"978","cmv","VOC",0.00699829,"ton/yr"
"978","cmv","NH3",0.00000502536,"ton/yr"
"978","nonpt","PM25",0.527663,"ton/yr"
"978","nonpt","NOx",1.00143,"ton/yr"
"978","nonpt","SOx",0.0130739,"ton/yr"
"978","nonpt","VOC",5.60847,"ton/yr"
"978","nonpt","NH3",0.258097,"ton/yr"
"978","np_oilgas","NOx",0.0000000236837,"ton/yr"
"978","np_oilgas","SOx",0.000000466679,"ton/yr"
"978","np_oilgas","VOC",0.00744992,"ton/yr"
"978","onroad","PM25",0.331497,"ton/yr"
"978","onroad","NOx",5.07935,"ton/yr"
"978","onroad","SOx",0.0562756,"ton/yr"
"978","onroad","VOC",3.95236,"ton/yr"
"978","onroad","NH3",0.451345,"ton/yr"
"978","rwc","PM25",0.142924,"ton/yr"
"978","rwc","NOx",0.0111518,"ton/yr"
"978","rwc","SOx",0.00171589,"ton/yr"
"978","rwc","VOC",0.0604374,"ton/yr"
"978","rwc","NH3",0.00347278,"ton/yr"
"979","afdust","PM25",0.160779,"ton/yr"
"979","cmv","PM25",0.0064461,"ton/yr"
"979","cmv","NOx",0.166269,"ton/yr"
"979","cmv","SOx",0.000225167,"ton/yr"
"979","cmv","VOC",0.012059,"ton/yr"
"979","cmv","NH3",0.00000865939,"ton/yr"
"979","nonpt","PM25",0.205012,"ton/yr"
"979","nonpt","NOx",0.484643,"ton/yr"
"979","nonpt","SOx",0.00615645,"ton/yr"
"979","nonpt","VOC",2.12463,"ton/yr"
"979","nonpt","NH3",0.150374,"ton/yr"
"979","np_oilgas","NOx",0.0000000109442,"ton/yr"
