"US_ISRM_id","pol_abbr","ems_qty","ems_unit"
"1034","NOx",10.69,"ton/yr"
"1034","SOx",0.0911029,"ton/yr"
"1034","VOC",16.9021,"ton/yr"
"1034","NH3",1.15889,"ton/yr"
"1035","PM25",1.90144,"ton/yr"
"1035","NOx",14.006,"ton/yr"
"1035","SOx",0.523559,"ton/yr"
"1035","VOC",12.5791,"ton/yr"
"1035","NH3",0.734969,"ton/yr"
"1036","PM25",4.04363,"ton/yr"
"1036","NOx",35.1325,"ton/yr"
"1036","SOx",0.352904,"ton/yr"
"1036","VOC",26.1065,"ton/yr"
"1036","NH3",1.8091,"ton/yr"
"1037","PM25",2.21065,"ton/yr"
"1037","NOx",11.1016,"ton/yr"
"1037","SOx",0.0812724,"ton/yr"
"1037","VOC",16.5382,"ton/yr"
"1037","NH3",1.03756,"ton/yr"
"1038","PM25",1.79991,"ton/yr"
"1038","NOx",8.35689,"ton/yr"
"1038","SOx",0.0699794,"ton/yr"
"1038","VOC",13.9756,"ton/yr"
"1038","NH3",0.976931,"ton/yr"
"1039","PM25",2.58417,"ton/yr"
"1039","NOx",15.571,"ton/yr"
"1039","SOx",0.111492,"ton/yr"
"1039","VOC",18.5128,"ton/yr"
"1039","NH3",1.39692,"ton/yr"
"1040","PM25",1.02771,"ton/yr"
"1040","NOx",5.03229,"ton/yr"
"1040","SOx",0.032109,"ton/yr"
"1040","VOC",8.501,"ton/yr"
"1040","NH3",0.301664,"ton/yr"
"1041","PM25",1.31637,"ton/yr"
"1041","NOx",1.03364,"ton/yr"
"1041","SOx",0.0121445,"ton/yr"
"1041","VOC",5.56375,"ton/yr"
"1041","NH3",0.0792579,"ton/yr"
"1042","PM25",2.16068,"ton/yr"
"1042","NOx",16.7017,"ton/yr"
"1042","SOx",0.108654,"ton/yr"
"1042","VOC",16.4778,"ton/yr"
"1042","NH3",0.948532,"ton/yr"
"1043","PM25",5.14192,"ton/yr"
"1043","NOx",20.4728,"ton/yr"
"1043","SOx",0.149831,"ton/yr"
"1043","VOC",33.3521,"ton/yr"
"1043","NH3",1.92066,"ton/yr"
"1044","PM25",4.08904,"ton/yr"
"1044","NOx",7.07879,"ton/yr"
"1044","SOx",0.0725923,"ton/yr"
"1044","VOC",26.7496,"ton/yr"
"1044","NH3",1.37435,"ton/yr"
"1045","PM25",3.09841,"ton/yr"
"1045","NOx",17.4722,"ton/yr"
"1045","SOx",0.123381,"ton/yr"
"1045","VOC",22.7113,"ton/yr"
"1045","NH3",1.17747,"ton/yr"
"1046","PM25",3.15384,"ton/yr"
"1046","NOx",27.2313,"ton/yr"
"1046","SOx",0.191926,"ton/yr"
"1046","VOC",22.0414,"ton/yr"
"1046","NH3",1.08223,"ton/yr"
"1047","PM25",1.89663,"ton/yr"
"1047","NOx",30.2553,"ton/yr"
"1047","SOx",0.196662,"ton/yr"
"1047","VOC",9.54903,"ton/yr"
"1047","NH3",0.32408,"ton/yr"
"1048","PM25",1.10204,"ton/yr"
"1048","NOx",23.2622,"ton/yr"
"1048","SOx",0.159623,"ton/yr"
"1048","VOC",4.68285,"ton/yr"
"1048","NH3",0.225736,"ton/yr"
"1049","PM25",2.95284,"ton/yr"
"1049","NOx",9.70528,"ton/yr"
"1049","SOx",0.103649,"ton/yr"
"1049","VOC",10.9225,"ton/yr"
"1049","NH3",1.06687,"ton/yr"
"1050","PM25",2.50234,"ton/yr"
"1050","NOx",16.2802,"ton/yr"
"1050","SOx",0.123105,"ton/yr"
"1050","VOC",12.5223,"ton/yr"
"1050","NH3",1.04737,"ton/yr"
"1051","PM25",2.34722,"ton/yr"
"1051","NOx",8.60605,"ton/yr"
"1051","SOx",0.137125,"ton/yr"
"1051","VOC",12.7224,"ton/yr"
"1051","NH3",1.40256,"ton/yr"
"1052","PM25",1.16506,"ton/yr"
"1052","NOx",7.07368,"ton/yr"
"1052","SOx",0.0460163,"ton/yr"
"1052","VOC",5.39921,"ton/yr"
"1052","NH3",6.757,"ton/yr"
"1053","PM25",3.2838,"ton/yr"
"1053","NOx",98.5001,"ton/yr"
"1053","SOx",0.698089,"ton/yr"
"1053","VOC",6.64466,"ton/yr"
"1053","NH3",0.0383987,"ton/yr"
"1054","PM25",9.79875,"ton/yr"
"1054","NOx",67.0632,"ton/yr"
"1054","SOx",0.663768,"ton/yr"
"1054","VOC",70.1101,"ton/yr"
"1054","NH3",6.25746,"ton/yr"
"1055","PM25",4.2819,"ton/yr"
"1055","NOx",14.1952,"ton/yr"
"1055","SOx",0.174003,"ton/yr"
"1055","VOC",19.7065,"ton/yr"
"1055","NH3",42.3335,"ton/yr"
"1056","PM25",2.00632,"ton/yr"
"1056","NOx",5.69479,"ton/yr"
"1056","SOx",0.0495846,"ton/yr"
"1056","VOC",12.7322,"ton/yr"
"1056","NH3",0.75696,"ton/yr"
"1057","PM25",3.02696,"ton/yr"
"1057","NOx",20.2177,"ton/yr"
"1057","SOx",0.185838,"ton/yr"
"1057","VOC",23.9061,"ton/yr"
"1057","NH3",1.85009,"ton/yr"
"1058","PM25",3.21801,"ton/yr"
"1058","NOx",19.6405,"ton/yr"
"1058","SOx",0.565465,"ton/yr"
"1058","VOC",30.669,"ton/yr"
"1058","NH3",2.49592,"ton/yr"
"1059","PM25",3.06411,"ton/yr"
"1059","NOx",17.318,"ton/yr"
"1059","SOx",0.226426,"ton/yr"
"1059","VOC",25.6229,"ton/yr"
"1059","NH3",2.12644,"ton/yr"
"1060","PM25",3.18025,"ton/yr"
"1060","NOx",24.7153,"ton/yr"
"1060","SOx",0.591061,"ton/yr"
