isrm,PrimaryPM25,NO3,NH4,SO4,SOA,TotalPM25,Total,White,Black,Native_American,Asian,Pacific_Islander,Other,Multiple,Hispanic,White non hispanic,geometry,Area,DeathsK,DeathsK_White,DeathsK_Asian,DeathsK_Black,DeathsK_Hispanic,Pop_density,DeathsK_per,DeathsK_area,TotalPM_area,Black_per,Asian_per,Hispanic_per
993,1.08338799,0.363405334,1.181797094,0.021906172,0.22894935,2.87944594,567,0.925925926,3,8,14,0,7,10,44,481,"POLYGON ((-122.7652911 38.44231893, -122.7717516 38.45968125, -122.7939227 38.45461902000001, -122.7874572 38.43725794, -122.7652911 38.44231893))",4.000007719,0.089524326,0.082892894,0.002210477,0.000473674,0.006947214,141.7497265,0.000157891,0.022381038,0.719860096,0.005291005,0.024691358,0.077601411
994,0.937640958,0.335183378,1.443216119,0.023821117,0.197838267,2.937699839,1749,0.846197827,22,26,39,0,134,48,255,1225,"POLYGON ((-122.7717516 38.45968125, -122.7782153 38.47704327999996, -122.8003913 38.47197978000003, -122.7939227 38.45461902000001, -122.7717516 38.45968125))",4.000007354,0.281786521,0.238447142,0.006283404,0.003544485,0.041083798,437.2491961,0.000161113,0.070446501,0.734423609,0.012578616,0.022298456,0.145797599
995,0.825546523,0.3066436,1.572776028,0.023829231,0.188086886,2.916882267,620,0.838709677,22,8,16,3,46,5,135,385,"POLYGON ((-122.7782153 38.47704327999996, -122.7846821 38.49440498999999, -122.8068631 38.48934025000001, -122.8003913 38.47197978000003, -122.7782153 38.47704327999996))",4.000006938,0.099176131,0.083179981,0.002559384,0.003519153,0.021594803,154.9997311,0.000159962,0.02479399,0.729219302,0.035483871,0.025806452,0.217741935
996,0.843039379,0.098280243,0.232484172,0.060408599,0.21784423,1.452056623,2484,0.552334944,112,12,559,78,129,222,487,885,"POLYGON ((-122.4714773 37.64335679999999, -122.4746358 37.65204395999999, -122.4856077 37.64954239999999, -122.4824479 37.64085554999998, -122.4714773 37.64335679999999))",0.999998309,0.196958328,0.108786967,0.044323553,0.008880569,0.038614616,2484.004201,7.93E-05,0.196958661,1.452059078,0.045088567,0.225040258,0.19605475
997,0.936326876,0.106826321,0.246232473,0.060446434,0.238679192,1.588511296,3841,0.445456912,198,12,1394,45,213,268,684,1027,"POLYGON ((-122.4746358 37.65204395999999, -122.4777951 37.66073106000001, -122.4887682 37.65822918, -122.4856077 37.64954239999999, -122.4746358 37.65204395999999))",0.99999993,0.333308761,0.148474692,0.120966523,0.017181759,0.059355166,3841.000271,8.68E-05,0.333308785,1.588511408,0.051549076,0.362926321,0.178078625
998,1.010695138,0.119954619,0.253434066,0.058329068,0.249210202,1.691623092,3809,0.290102389,243,13,1995,40,221,192,593,512,"POLYGON ((-122.4777951 37.66073106000001, -122.4809552 37.66941810000001, -122.4919295 37.66691592000001, -122.4887682 37.65822918, -122.4777951 37.66073106000001))",0.999999993,0.352092981,0.102143015,0.18441205,0.02246222,0.054815211,3809.000028,9.24E-05,0.352092983,1.691623105,0.063796272,0.523759517,0.155683907
999,0.937408743,0.121880679,0.253107388,0.058317602,0.249694571,1.620408984,3364,0.187277051,127,12,2242,23,165,165,453,177,"POLYGON ((-122.4809552 37.66941810000001, -122.4841161 37.67810508999999, -122.4950916 37.6756026, -122.4919295 37.66691592000001, -122.4809552 37.66941810000001))",0.999999369,0.297805811,0.055772194,0.198478189,0.011242966,0.040102863,3364.002124,8.85E-05,0.297805999,1.620410007,0.037752675,0.66646849,0.134661118
1000,0.853974462,0.125808,0.231284176,0.058372975,0.234055002,1.503494614,2890,0.185121107,73,9,1948,16,157,152,377,158,"POLYGON ((-122.4841161 37.67810508999999, -122.4872777 37.68679202999999, -122.4982544 37.68428922, -122.4950916 37.6756026, -122.4841161 37.67810508999999))",0.999996624,0.237303477,0.043929882,0.159954039,0.005994171,0.030956198,2890.009756,8.21E-05,0.237304278,1.50349969,0.025259516,0.674048443,0.130449827
1001,0.83099113,0.123780825,0.227321559,0.058384569,0.228212091,1.468690175,3135,0.272727273,106,7,1753,21,223,170,462,393,"POLYGON ((-122.4872777 37.68679202999999, -122.49044 37.69547891000001, -122.501418 37.69297578999999, -122.4982544 37.68428922, -122.4872777 37.68679202999999))",0.999999295,0.251436322,0.068573542,0.140595813,0.008501515,0.037053774,3135.00221,8.02E-05,0.2514365,1.46869121,0.033811802,0.559170654,0.147368421
1002,0.770747793,0.144977807,0.20815077,0.058069045,0.21183578,1.393781195,532,0.468045113,5,0,225,0,13,40,39,210,"POLYGON ((-122.49044 37.69547891000001, -122.4936032 37.70416572999997, -122.5045823 37.7016623, -122.501418 37.69297578999999, -122.49044 37.69547891000001))",0.999998284,0.040482899,0.018947823,0.017121527,0.000380478,0.002967731,532.0009129,7.61E-05,0.040482968,1.393783587,0.009398496,0.422932331,0.073308271
